text,intent
trợ lý mở trình duyệt luôn,open_browser
trốn đi một chút,pet_minimize
trợ lý xem youtube bây giờ,open_youtube
trợ lý to tiếng lên đi,volume_up
cún mở browser,open_browser
bạn dừng lại một chút,pet_sleep
mèo mở youtube đi,open_youtube
cún thoát browser một chút,close_browser
bạn mở trình duyệt một chút,open_browser
mở browser luôn,open_browser
bé đóng tab một chút,close_browser
vặn to lên đi,volume_up
mèo trốn đi một chút,pet_minimize
bạn thoát browser nhé,close_browser
bé ngủ đi bây giờ,pet_sleep
bạn to tiếng lên luôn,volume_up
đóng trình duyệt bây giờ,close_browser
giỏi quá luôn,praise_pet
mèo giỏi quá bây giờ,praise_pet
mở browser,open_browser
trợ lý bật youtube lên đi,open_youtube
bé dừng lại nhé,pet_sleep
mèo im chút nhé,volume_down
hi luôn,greet_pet
mèo to tiếng lên đi,volume_up
cún hello nhé,greet_pet
mèo mở trình duyệt luôn,open_browser
mèo thu nhỏ đi luôn,pet_minimize
bạn nhỏ tiếng lại luôn,volume_down
cún mở to loa đi,volume_up
bé xem youtube đi,open_youtube
bạn ngủ đi luôn,pet_sleep
cún vào youtube,open_youtube
vặn to lên nhé,volume_up
giảm âm lượng giúp mình,volume_down
giảm âm lượng đi,volume_down
mèo vào web một chút,open_browser
bé mở to loa bây giờ,volume_up
cún thông minh thật bây giờ,praise_pet
bạn mở youtube nhé,open_youtube
bạn mở chrome lên một chút,open_browser
bật youtube lên nhé,open_youtube
bạn hi luôn,greet_pet
đi ngủ nhé một chút,pet_sleep
bé nhỏ tiếng lại một chút,volume_down
mèo nhỏ tiếng lại,volume_down
cún bật youtube lên nhé,open_youtube
to tiếng lên luôn,volume_up
cún siêu đỉnh bây giờ,praise_pet
bạn chui xuống góc màn hình bây giờ,pet_minimize
bé tốt lắm giúp mình,praise_pet
bạn chào trợ lý giúp mình,greet_pet
mèo vặn to lên bây giờ,volume_up
xem youtube nhé,open_youtube
xem youtube luôn,open_youtube
mở youtube giúp mình,open_youtube
trợ lý đóng tab nhé,close_browser
bạn hello luôn,greet_pet
cún xin chào,greet_pet
tăng âm lượng giúp mình,volume_up
bé vào web giúp mình,open_browser
bé hello bây giờ,greet_pet
bé đi ngủ nhé đi,pet_sleep
bé thông minh thật bây giờ,praise_pet
mèo bật youtube lên,open_youtube
bé thoát browser một chút,close_browser
bạn nhỏ tiếng lại,volume_down
bạn mở to loa,volume_up
mèo chào cún bây giờ,greet_pet
bé tốt lắm nhé,praise_pet
nhỏ tiếng lại một chút,volume_down
trợ lý to tiếng lên nhé,volume_up
bạn thu nhỏ đi bây giờ,pet_minimize
bé chào cún luôn,greet_pet
trợ lý thoát browser giúp mình,close_browser
thu nhỏ đi,pet_minimize
bạn chào cún nhé,greet_pet
bé ngoan lắm đi,praise_pet
mèo bật chrome nhé,open_browser
hạ volume xuống giúp mình,volume_down
tăng âm lượng đi,volume_up
trợ lý thoát browser đi,close_browser
trợ lý vặn to lên,volume_up
bạn mở trình duyệt giúp mình,open_browser
bé trốn đi nhé,pet_minimize
đi ngủ nhé nhé,pet_sleep
bé chào trợ lý bây giờ,greet_pet
trợ lý giỏi quá bây giờ,praise_pet
bạn bật youtube lên nhé,open_youtube
mèo to tiếng lên giúp mình,volume_up
bé chào cún,greet_pet
cún vặn to lên luôn,volume_up
trốn đi giúp mình,pet_minimize
trợ lý trốn đi bây giờ,pet_minimize
dừng lại một chút,pet_sleep
trợ lý chào cún bây giờ,greet_pet
bạn vào web luôn,open_browser
bạn đóng tab,close_browser
mèo giảm âm lượng giúp mình,volume_down
bé dừng lại luôn,pet_sleep
cún mở to loa một chút,volume_up
cún thông minh thật luôn,praise_pet
bé tăng âm lượng bây giờ,volume_up
trợ lý chào trợ lý một chút,greet_pet
cún ẩn xuống góc đi,pet_minimize
trợ lý vào youtube,open_youtube
bé hạ volume xuống giúp mình,volume_down
trợ lý bật youtube lên luôn,open_youtube
bạn nghỉ chút đi,pet_sleep
bạn đóng tab đi,close_browser
ẩn xuống góc luôn,pet_minimize
trợ lý dừng lại luôn,pet_sleep
bạn nghỉ chút nhé,pet_sleep
trợ lý siêu đỉnh bây giờ,praise_pet
bé trốn đi giúp mình,pet_minimize
bé thông minh thật đi,praise_pet
cún ẩn xuống góc một chút,pet_minimize
bạn chui xuống góc màn hình đi,pet_minimize
bé mở chrome lên nhé,open_browser
mèo thu nhỏ đi,pet_minimize
hi giúp mình,greet_pet
bạn mở youtube một chút,open_youtube
mèo xem youtube,open_youtube
trợ lý tốt lắm,praise_pet
mèo đi ngủ nhé một chút,pet_sleep
khởi động trình duyệt giúp mình,open_browser
bạn xem youtube bây giờ,open_youtube
bé ẩn xuống góc bây giờ,pet_minimize
trợ lý thông minh thật đi,praise_pet
cún đóng tab,close_browser
bạn tăng âm lượng bây giờ,volume_up
trợ lý tạm dừng bây giờ,pet_sleep
cún chào trợ lý đi,greet_pet
bạn mở chrome lên,open_browser
mèo nghỉ chút giúp mình,pet_sleep
mèo xem youtube đi,open_youtube
bé nhỏ tiếng lại,volume_down
cún ẩn xuống góc bây giờ,pet_minimize
tốt lắm luôn,praise_pet
xem youtube đi,open_youtube
vào youtube giúp mình,open_youtube
cún mở trình duyệt nhé,open_browser
bạn hạ volume xuống,volume_down
bạn chào bạn giúp mình,greet_pet
cún nghỉ chút giúp mình,pet_sleep
mèo vào youtube,open_youtube
bé ẩn xuống góc đi,pet_minimize
thoát browser,close_browser
tăng âm lượng,volume_up
trợ lý khởi động trình duyệt giúp mình,open_browser
trợ lý mở trình duyệt bây giờ,open_browser
mèo im chút đi,volume_down
siêu đỉnh nhé,praise_pet
bé mở to loa,volume_up
bạn siêu đỉnh,praise_pet
mèo đóng tab giúp mình,close_browser
mở trình duyệt một chút,open_browser
bạn ngoan lắm giúp mình,praise_pet
bạn ê bé luôn,greet_pet
trợ lý bật chrome luôn,open_browser
chào bạn một chút,greet_pet
trợ lý nhỏ tiếng lại đi,volume_down
trợ lý hạ volume xuống,volume_down
bạn xin chào bây giờ,greet_pet
dễ thương quá luôn,praise_pet
mèo dễ thương quá nhé,praise_pet
cún vào web bây giờ,open_browser
bạn bật chrome bây giờ,open_browser
trợ lý nghỉ chút đi,pet_sleep
bạn thông minh thật nhé,praise_pet
cún hello luôn,greet_pet
xin chào giúp mình,greet_pet
bạn khởi động trình duyệt bây giờ,open_browser
trợ lý dễ thương quá một chút,praise_pet
cún mở to loa nhé,volume_up
bạn ẩn xuống góc giúp mình,pet_minimize
mèo mở to loa luôn,volume_up
trợ lý đi ngủ nhé bây giờ,pet_sleep
bạn mở trình duyệt bây giờ,open_browser
trợ lý vào web nhé,open_browser
trợ lý mở browser một chút,open_browser
cún chào bạn một chút,greet_pet
trợ lý mở youtube bây giờ,open_youtube
trợ lý nhỏ tiếng lại bây giờ,volume_down
cún chào trợ lý,greet_pet
trợ lý to tiếng lên giúp mình,volume_up
bạn tắt chrome bây giờ,close_browser
bật youtube lên giúp mình,open_youtube
trợ lý chào trợ lý đi,greet_pet
cún mở trình duyệt đi,open_browser
mở chrome lên giúp mình,open_browser
cún giỏi quá bây giờ,praise_pet
cún tăng âm lượng giúp mình,volume_up
mèo ẩn xuống góc giúp mình,pet_minimize
trợ lý chào bạn đi,greet_pet
bé mở browser giúp mình,open_browser
bé im chút một chút,volume_down
bé chào bạn đi,greet_pet
mèo ẩn xuống góc luôn,pet_minimize
bé giỏi quá,praise_pet
trợ lý nghỉ chút,pet_sleep
vặn to lên luôn,volume_up
bạn giảm âm lượng luôn,volume_down
cún mở youtube nhé,open_youtube
dừng lại giúp mình,pet_sleep
trợ lý tăng âm lượng luôn,volume_up
trợ lý ê bé nhé,greet_pet
cún dừng lại bây giờ,pet_sleep
thu nhỏ đi đi,pet_minimize
bé dừng lại bây giờ,pet_sleep
chào bạn luôn,greet_pet
bé mở to loa nhé,volume_up
trợ lý chào bạn bây giờ,greet_pet
mèo đi ngủ nhé bây giờ,pet_sleep
mèo dễ thương quá,praise_pet
siêu đỉnh một chút,praise_pet
mèo tốt lắm đi,praise_pet
cún xem youtube đi,open_youtube
bạn mở browser,open_browser
thông minh thật luôn,praise_pet
bé tắt chrome nhé,close_browser
mèo ê bé một chút,greet_pet
bé siêu đỉnh luôn,praise_pet
đóng trình duyệt giúp mình,close_browser
mèo thoát browser,close_browser
nhỏ tiếng lại bây giờ,volume_down
bé mở to loa đi,volume_up
trợ lý trốn đi luôn,pet_minimize
ê bé một chút,greet_pet
bạn chào cún luôn,greet_pet
trợ lý thông minh thật,praise_pet
